base_datos,id_anuncio,ciudad,barrio_oficial,id_barrio_oficial,tipo_inmueble,habitaciones,metros_cuadrados,num_planta,precio_inmueble,precio_noche_estimado,ocupacion_media_estimada,nivel_precio,ROI365_%,puntuacion_ROI365
Fotocasa,188894283,Valencia,La Roqueta,314154,Piso,3.0,130.0,1.0,420000.0,186.575,0.3105,1-barrio+habitaciones,3.27,Baja rentabilidad
Idealista,109302440,Valencia,Russafa,325228,Piso,4.0,82.0,2.0,350000.0,162.35,0.2974,1-barrio+habitaciones,3.27,Baja rentabilidad
Idealista,106865654,Valencia,Russafa,325228,Piso,3.0,77.0,2.0,350000.0,162.35,0.2974,1-barrio+habitaciones,3.27,Baja rentabilidad
Idealista,107189306,Valencia,Russafa,325228,Piso,5.0,70.0,2.0,350000.0,162.35,0.2974,1-barrio+habitaciones,3.27,Baja rentabilidad
Fotocasa,189458832,Valencia,La Roqueta,314154,Piso,3.0,107.0,4.0,420000.0,186.575,0.3105,1-barrio+habitaciones,3.27,Baja rentabilidad
Idealista,110769338,Valencia,El Carme,314078,Piso,3.0,61.0,2.0,280000.0,119.425,0.3236,1-barrio+habitaciones,3.27,Baja rentabilidad
Idealista,111371346,Valencia,Aiora,306005,Piso,3.0,76.0,4.0,239000.0,99.025,0.3326,1-barrio+habitaciones,3.27,Baja rentabilidad
Idealista,110337991,Valencia,Russafa,325228,Piso,4.0,77.0,2.0,350000.0,162.35,0.2974,1-barrio+habitaciones,3.27,Baja rentabilidad
Idealista,110152225,Valencia,Russafa,325228,Piso,3.0,74.0,4.0,350000.0,162.35,0.2974,1-barrio+habitaciones,3.27,Baja rentabilidad
Idealista,104242821,Valencia,La Roqueta,314154,Piso,2.0,42.0,0.0,325000.0,144.075,0.3105,1-barrio+habitaciones,3.27,Baja rentabilidad
Idealista,110284363,Valencia,Aiora,306005,Piso,3.0,69.0,8.0,240000.0,99.025,0.3326,1-barrio+habitaciones,3.26,Baja rentabilidad
Idealista,111391509,Valencia,El Cabanyal - El Canyamelar,335074,Piso,2.0,75.0,1.0,250000.0,115.6,0.2972,1-barrio+habitaciones,3.26,Baja rentabilidad
Idealista,110314386,Valencia,El Cabanyal - El Canyamelar,335074,Piso,3.0,85.0,1.0,269500.0,124.525,0.2972,1-barrio+habitaciones,3.26,Baja rentabilidad
Idealista,110691043,Valencia,Aiora,306005,Piso,3.0,69.0,9.0,240000.0,99.025,0.3326,1-barrio+habitaciones,3.26,Baja rentabilidad
Fotocasa,189264689,Valencia,El Cabanyal - El Canyamelar,335074,Piso,2.0,90.0,,250000.0,115.6,0.2972,1-barrio+habitaciones,3.26,Baja rentabilidad
Idealista,109800648,Valencia,La Seu,314157,Estudio,1.0,37.0,1.0,210000.0,87.125,0.3306,1-barrio+habitaciones,3.25,Baja rentabilidad
Fotocasa,188319048,Valencia,La Seu,314157,Piso,1.0,40.0,1.0,210000.0,87.125,0.3306,1-barrio+habitaciones,3.25,Baja rentabilidad
Idealista,106880760,Valencia,El Cabanyal - El Canyamelar,335074,Piso,1.0,53.0,0.0,190000.0,87.55,0.2972,1-barrio+habitaciones,3.25,Baja rentabilidad
Idealista,109867057,Valencia,La Seu,314157,Estudio,1.0,38.0,1.0,210000.0,87.125,0.3306,1-barrio+habitaciones,3.25,Baja rentabilidad
Fotocasa,189308325,Valencia,Russafa,325228,Piso,3.0,98.0,,355000.0,162.35,0.2974,1-barrio+habitaciones,3.23,Baja rentabilidad
Idealista,110764015,Valencia,Russafa,325228,Piso,3.0,91.0,2.0,355000.0,162.35,0.2974,1-barrio+habitaciones,3.23,Baja rentabilidad
Idealista,111038633,Valencia,El Cabanyal - El Canyamelar,335074,Piso,3.0,101.0,2.0,272000.0,124.525,0.2972,1-barrio+habitaciones,3.23,Baja rentabilidad
Idealista,109832409,Valencia,El Cabanyal - El Canyamelar,335074,Piso,4.0,116.0,3.0,435000.0,198.05,0.2972,1-barrio+habitaciones,3.21,Baja rentabilidad
Idealista,110995590,Valencia,Aiora,306005,Piso,2.0,82.0,1.0,232000.0,94.35,0.3326,1-barrio+habitaciones,3.21,Baja rentabilidad
Idealista,110055305,Valencia,La Roqueta,314154,Piso,3.0,117.0,4.0,430000.0,186.575,0.3105,1-barrio+habitaciones,3.2,Baja rentabilidad
Idealista,110840642,Valencia,La Roqueta,314154,Piso,3.0,108.0,6.0,430000.0,186.575,0.3105,1-barrio+habitaciones,3.2,Baja rentabilidad
Idealista,110698593,Valencia,La Roqueta,314154,Piso,3.0,127.0,4.0,430000.0,186.575,0.3105,1-barrio+habitaciones,3.2,Baja rentabilidad
Idealista,106885714,Valencia,Aiora,306005,Piso,1.0,52.0,0.0,195000.0,79.05,0.3326,1-barrio+habitaciones,3.2,Baja rentabilidad
Idealista,110824456,Valencia,El Carme,314078,Piso,3.0,102.0,4.0,288000.0,119.425,0.3236,1-barrio+habitaciones,3.18,Baja rentabilidad
Fotocasa,188857375,Valencia,El Cabanyal - El Canyamelar,335074,Piso,2.0,48.0,1.0,256000.0,115.6,0.2972,1-barrio+habitaciones,3.18,Baja rentabilidad
Idealista,111243031,Valencia,El Carme,314078,Piso,2.0,44.0,5.0,270000.0,111.35,0.3236,1-barrio+habitaciones,3.17,Baja rentabilidad
Idealista,111144489,Valencia,El Carme,314078,Ático,2.0,44.0,5.0,270000.0,111.35,0.3236,1-barrio+habitaciones,3.17,Baja rentabilidad
Idealista,110478229,Valencia,El Carme,314078,Piso,1.0,47.0,1.0,218000.0,90.1,0.3236,1-barrio+habitaciones,3.17,Baja rentabilidad
Fotocasa,186572408,Valencia,La Roqueta,314154,Piso,3.0,115.0,1.0,435000.0,186.575,0.3105,1-barrio+habitaciones,3.16,Baja rentabilidad
Fotocasa,189527569,Valencia,El Cabanyal - El Canyamelar,335074,Piso,1.0,46.0,0.0,196000.0,87.55,0.2972,1-barrio+habitaciones,3.15,Baja rentabilidad
Fotocasa,189487498,Valencia,El Cabanyal - El Canyamelar,335074,Piso,3.0,82.0,1.0,279000.0,124.525,0.2972,1-barrio+habitaciones,3.15,Baja rentabilidad
Idealista,109984151,Valencia,Russafa,325228,Piso,3.0,83.0,2.0,365000.0,162.35,0.2974,1-barrio+habitaciones,3.14,Baja rentabilidad
Idealista,110018014,Valencia,El Cabanyal - El Canyamelar,335074,Piso,2.0,80.0,4.0,260000.0,115.6,0.2972,1-barrio+habitaciones,3.14,Baja rentabilidad
Fotocasa,188471481,Valencia,El Carme,314078,Piso,1.0,66.0,,220000.0,90.1,0.3236,1-barrio+habitaciones,3.14,Baja rentabilidad
Idealista,102668514,Valencia,El Carme,314078,Piso,1.0,43.0,3.0,220000.0,90.1,0.3236,1-barrio+habitaciones,3.14,Baja rentabilidad
Idealista,111158214,Valencia,Aiora,306005,Piso,1.0,54.0,,199000.0,79.05,0.3326,1-barrio+habitaciones,3.13,Baja rentabilidad
Fotocasa,189426171,Valencia,Camí Fondo,306035,Piso,4.0,98.0,2.0,249900.0,90.95,0.3628,2-barrio,3.13,Baja rentabilidad
Fotocasa,188319009,Valencia,Aiora,306005,Piso,1.0,50.0,0.0,199000.0,79.05,0.3326,1-barrio+habitaciones,3.13,Baja rentabilidad
Idealista,111370702,Valencia,Aiora,306005,Piso,3.0,65.0,1.0,250000.0,99.025,0.3326,1-barrio+habitaciones,3.13,Baja rentabilidad
Idealista,107946543,Valencia,Aiora,306005,Piso,1.0,59.0,0.0,199000.0,79.05,0.3326,1-barrio+habitaciones,3.13,Baja rentabilidad
Fotocasa,188767933,Valencia,Aiora,306005,Piso,1.0,49.0,,199900.0,79.05,0.3326,1-barrio+habitaciones,3.12,Baja rentabilidad
Fotocasa,188633187,Valencia,Russafa,325228,Piso,3.0,91.0,2.0,368000.0,162.35,0.2974,1-barrio+habitaciones,3.11,Baja rentabilidad
Idealista,111039294,Valencia,El Cabanyal - El Canyamelar,335074,Piso,6.0,171.0,1.0,450000.0,198.05,0.2972,1-barrio+habitaciones,3.1,Baja rentabilidad
Idealista,111312002,Valencia,El Carme,314078,Piso,3.0,64.0,3.0,296000.0,119.425,0.3236,1-barrio+habitaciones,3.1,Baja rentabilidad
Idealista,111288073,Valencia,El Carme,314078,Piso,3.0,64.0,1.0,296000.0,119.425,0.3236,1-barrio+habitaciones,3.1,Baja rentabilidad
Fotocasa,185234835,Valencia,Russafa,325228,Piso,3.0,81.0,4.0,370000.0,162.35,0.2974,1-barrio+habitaciones,3.1,Baja rentabilidad
Idealista,111302234,Valencia,El Carme,314078,Piso,3.0,60.0,3.0,296000.0,119.425,0.3236,1-barrio+habitaciones,3.1,Baja rentabilidad
Idealista,111340144,Valencia,El Carme,314078,Ático,3.0,64.0,1.0,296000.0,119.425,0.3236,1-barrio+habitaciones,3.1,Baja rentabilidad
Fotocasa,188523120,Valencia,La Seu,314157,Dúplex,2.0,80.0,0.0,329000.0,129.625,0.3306,1-barrio+habitaciones,3.09,Baja rentabilidad
Idealista,109787947,Valencia,La Seu,314157,Dúplex,2.0,107.0,0.0,329000.0,129.625,0.3306,1-barrio+habitaciones,3.09,Baja rentabilidad
Idealista,107325926,Valencia,El Pilar,314095,Piso,1.0,47.0,1.0,230000.0,93.5,0.3196,1-barrio+habitaciones,3.08,Baja rentabilidad
Idealista,110982218,Valencia,Aiora,306005,Piso,3.0,92.0,4.0,254000.0,99.025,0.3326,1-barrio+habitaciones,3.08,Baja rentabilidad
Idealista,87230363,Valencia,El Pilar,314095,Piso,3.0,80.0,0.0,291000.0,118.15,0.3196,1-barrio+habitaciones,3.08,Baja rentabilidad
Idealista,111369265,Valencia,El Carme,314078,Piso,3.0,56.0,2.0,299000.0,119.425,0.3236,1-barrio+habitaciones,3.07,Baja rentabilidad
Idealista,111056034,Valencia,El Carme,314078,Piso,2.0,59.0,0.0,279000.0,111.35,0.3236,1-barrio+habitaciones,3.06,Baja rentabilidad
Idealista,110893134,Valencia,El Carme,314078,Piso,2.0,56.0,0.0,279000.0,111.35,0.3236,1-barrio+habitaciones,3.06,Baja rentabilidad
Idealista,110158244,Valencia,El Cabanyal - El Canyamelar,335074,Piso,3.0,100.0,6.0,289500.0,124.525,0.2972,1-barrio+habitaciones,3.03,Baja rentabilidad
Idealista,110131943,Valencia,Aiora,306005,Piso,3.0,85.0,2.0,258000.0,99.025,0.3326,1-barrio+habitaciones,3.03,Baja rentabilidad
Fotocasa,188805114,Valencia,Aiora,306005,Piso,3.0,79.0,,259000.0,99.025,0.3326,1-barrio+habitaciones,3.02,Baja rentabilidad
Idealista,110947070,Valencia,Camí Fondo,306035,Piso,3.0,80.0,7.0,259000.0,90.95,0.3628,2-barrio,3.02,Baja rentabilidad
Idealista,110940964,Valencia,Aiora,306005,Piso,3.0,84.0,1.0,259000.0,99.025,0.3326,1-barrio+habitaciones,3.02,Baja rentabilidad
Idealista,111149647,Valencia,El Cabanyal - El Canyamelar,335074,Piso,1.0,36.0,1.0,205000.0,87.55,0.2972,1-barrio+habitaciones,3.01,Baja rentabilidad
Idealista,110695872,Valencia,Aiora,306005,Piso,3.0,72.0,3.0,260000.0,99.025,0.3326,1-barrio+habitaciones,3.01,Baja rentabilidad
Idealista,110736205,Valencia,Aiora,306005,Piso,3.0,85.0,5.0,260000.0,99.025,0.3326,1-barrio+habitaciones,3.01,Baja rentabilidad
Fotocasa,188915931,Valencia,Aiora,306005,Piso,3.0,93.0,2.0,259500.0,99.025,0.3326,1-barrio+habitaciones,3.01,Baja rentabilidad
Idealista,110855543,Valencia,Aiora,306005,Piso,1.0,35.0,0.0,208000.0,79.05,0.3326,1-barrio+habitaciones,3.0,Baja rentabilidad
Idealista,111382545,Valencia,El Carme,314078,Ático,2.0,59.0,5.0,285000.0,111.35,0.3236,1-barrio+habitaciones,3.0,Baja rentabilidad
Fotocasa,188514305,Valencia,Camí Fondo,306035,Piso,2.0,97.0,3.0,249900.0,86.7,0.3628,1-barrio+habitaciones,2.99,Baja rentabilidad
Fotocasa,188996345,Valencia,El Carme,314078,Piso,2.0,100.0,4.0,286000.0,111.35,0.3236,1-barrio+habitaciones,2.99,Baja rentabilidad
Idealista,111282261,Valencia,El Carme,314078,Casa,2.0,100.0,,286000.0,111.35,0.3236,1-barrio+habitaciones,2.99,Baja rentabilidad
Idealista,110874126,Valencia,El Cabanyal - El Canyamelar,335074,Piso,3.0,60.0,2.0,295000.0,124.525,0.2972,1-barrio+habitaciones,2.98,Baja rentabilidad
Fotocasa,188994636,Valencia,El Carme,314078,Piso,2.0,101.0,4.0,288000.0,111.35,0.3236,1-barrio+habitaciones,2.97,Baja rentabilidad
Idealista,103272657,Valencia,Aiora,306005,Piso,1.0,43.0,0.0,210000.0,79.05,0.3326,1-barrio+habitaciones,2.97,Baja rentabilidad
Fotocasa,188950149,Valencia,El Carme,314078,Piso,2.0,100.0,4.0,288000.0,111.35,0.3236,1-barrio+habitaciones,2.97,Baja rentabilidad
Idealista,111343420,Valencia,El Carme,314078,Dúplex,2.0,101.0,3.0,288000.0,111.35,0.3236,1-barrio+habitaciones,2.97,Baja rentabilidad
Idealista,110271238,Valencia,La Roqueta,314154,Piso,2.0,73.0,1.0,359000.0,144.075,0.3105,1-barrio+habitaciones,2.96,Baja rentabilidad
Fotocasa,187515835,Valencia,Aiora,306005,Piso,3.0,105.0,1.0,265000.0,99.025,0.3326,1-barrio+habitaciones,2.95,Baja rentabilidad
Idealista,111248768,Valencia,El Cabanyal - El Canyamelar,335074,Piso,3.0,82.0,3.0,298000.0,124.525,0.2972,1-barrio+habitaciones,2.95,Baja rentabilidad
Idealista,110272714,Valencia,Russafa,325228,Piso,3.0,110.0,1.0,390000.0,162.35,0.2974,1-barrio+habitaciones,2.94,Baja rentabilidad
Idealista,109180815,Valencia,El Cabanyal - El Canyamelar,335074,Piso,3.0,87.0,1.0,299000.0,124.525,0.2972,1-barrio+habitaciones,2.94,Baja rentabilidad
Idealista,108959311,Valencia,El Cabanyal - El Canyamelar,335074,Casa,3.0,80.0,,299999.0,124.525,0.2972,1-barrio+habitaciones,2.93,Baja rentabilidad
Fotocasa,188934443,Valencia,El Cabanyal - El Canyamelar,335074,Piso,3.0,85.0,2.0,300000.0,124.525,0.2972,1-barrio+habitaciones,2.93,Baja rentabilidad
Fotocasa,189071319,Valencia,El Cabanyal - El Canyamelar,335074,Planta Baja,3.0,70.0,0.0,299900.0,124.525,0.2972,1-barrio+habitaciones,2.93,Baja rentabilidad
Idealista,110873081,Valencia,El Cabanyal - El Canyamelar,335074,Piso,3.0,70.0,0.0,299900.0,124.525,0.2972,1-barrio+habitaciones,2.93,Baja rentabilidad
Idealista,110241808,Valencia,Aiora,306005,Piso,2.0,76.0,0.0,255000.0,94.35,0.3326,1-barrio+habitaciones,2.92,Baja rentabilidad
Fotocasa,189558940,Valencia,Aiora,306005,Piso,2.0,77.0,1.0,255000.0,94.35,0.3326,1-barrio+habitaciones,2.92,Baja rentabilidad
Idealista,111400058,Valencia,El Cabanyal - El Canyamelar,335074,Piso,2.0,87.0,2.0,280000.0,115.6,0.2972,1-barrio+habitaciones,2.91,Baja rentabilidad
Fotocasa,186822546,Valencia,La Seu,314157,Piso,1.0,56.0,0.5,235000.0,87.125,0.3306,1-barrio+habitaciones,2.91,Baja rentabilidad
Idealista,110251031,Valencia,El Cabanyal - El Canyamelar,335074,Piso,2.0,80.0,1.0,280000.0,115.6,0.2972,1-barrio+habitaciones,2.91,Baja rentabilidad
Fotocasa,187734679,Valencia,El Cabanyal - El Canyamelar,335074,Piso,2.0,110.0,0.0,280000.0,115.6,0.2972,1-barrio+habitaciones,2.91,Baja rentabilidad
Idealista,108963539,Valencia,El Carme,314078,Piso,2.0,84.0,,295000.0,111.35,0.3236,1-barrio+habitaciones,2.9,Baja rentabilidad
Idealista,111251646,Valencia,La Seu,314157,Piso,2.0,60.0,2.0,350000.0,129.625,0.3306,1-barrio+habitaciones,2.9,Baja rentabilidad
Idealista,111384460,Valencia,Aiora,306005,Piso,3.0,90.0,1.0,270000.0,99.025,0.3326,1-barrio+habitaciones,2.89,Baja rentabilidad
Fotocasa,188804711,Valencia,Aiora,306005,Piso,3.0,72.0,,270000.0,99.025,0.3326,1-barrio+habitaciones,2.89,Baja rentabilidad
Idealista,110761978,Valencia,Aiora,306005,Piso,3.0,74.0,5.0,270000.0,99.025,0.3326,1-barrio+habitaciones,2.89,Baja rentabilidad
Idealista,111397805,Valencia,Aiora,306005,Piso,3.0,95.0,1.0,270000.0,99.025,0.3326,1-barrio+habitaciones,2.89,Baja rentabilidad
Fotocasa,188759970,Valencia,Aiora,306005,Piso,4.0,109.0,5.0,480000.0,175.1,0.3326,1-barrio+habitaciones,2.88,Baja rentabilidad
Fotocasa,189479696,Valencia,Russafa,325228,Piso,4.0,105.0,5.0,399500.0,162.35,0.2974,1-barrio+habitaciones,2.87,Baja rentabilidad
Idealista,111374046,Valencia,Camí Fondo,306035,Piso,2.0,63.0,0.0,260000.0,86.7,0.3628,1-barrio+habitaciones,2.87,Baja rentabilidad
Fotocasa,181737914,Valencia,Russafa,325228,Piso,5.0,153.0,,399000.0,162.35,0.2974,1-barrio+habitaciones,2.87,Baja rentabilidad
Idealista,111272968,Valencia,Russafa,325228,Piso,2.0,60.0,2.0,265000.0,107.95,0.2974,1-barrio+habitaciones,2.87,Baja rentabilidad
Idealista,106636523,Valencia,Aiora,306005,Piso,1.0,47.0,0.0,219500.0,79.05,0.3326,1-barrio+habitaciones,2.84,Baja rentabilidad
Idealista,110514381,Valencia,Aiora,306005,Estudio,1.0,36.0,,220000.0,79.05,0.3326,1-barrio+habitaciones,2.84,Baja rentabilidad
Fotocasa,189277369,Valencia,Aiora,306005,Piso,3.0,69.0,7.0,275000.0,99.025,0.3326,1-barrio+habitaciones,2.84,Baja rentabilidad
Idealista,110210428,Valencia,Aiora,306005,Piso,1.0,55.0,2.0,220000.0,79.05,0.3326,1-barrio+habitaciones,2.84,Baja rentabilidad
Idealista,111369639,Valencia,El Cabanyal - El Canyamelar,335074,Piso,3.0,93.0,,310000.0,124.525,0.2972,1-barrio+habitaciones,2.83,Baja rentabilidad
Fotocasa,187377206,Valencia,La Roqueta,314154,Piso,1.0,49.0,2.0,240000.0,91.8,0.3105,1-barrio+habitaciones,2.82,Baja rentabilidad
Idealista,111392669,Valencia,El Cabanyal - El Canyamelar,335074,Piso,2.0,100.0,0.0,289000.0,115.6,0.2972,1-barrio+habitaciones,2.82,Baja rentabilidad
Idealista,111275131,Valencia,El Carme,314078,Piso,3.0,74.0,3.0,325000.0,119.425,0.3236,1-barrio+habitaciones,2.82,Baja rentabilidad
Idealista,110930756,Valencia,El Cabanyal - El Canyamelar,335074,Casa,4.0,103.0,,495000.0,198.05,0.2972,1-barrio+habitaciones,2.82,Baja rentabilidad
Fotocasa,189566080,Valencia,Aiora,306005,Piso,2.0,80.0,1.0,265000.0,94.35,0.3326,1-barrio+habitaciones,2.81,Baja rentabilidad
Idealista,110716096,Valencia,La Roqueta,314154,Piso,4.0,94.0,5.0,330000.0,125.8,0.3105,2-barrio,2.81,Baja rentabilidad
Idealista,111373774,Valencia,La Roqueta,314154,Piso,4.0,95.0,5.0,329900.0,125.8,0.3105,2-barrio,2.81,Baja rentabilidad
Idealista,111188523,Valencia,Camí Fondo,306035,Piso,3.0,78.0,5.0,279900.0,90.95,0.3628,2-barrio,2.8,Baja rentabilidad
Idealista,110536013,Valencia,El Pilar,314095,Piso,3.0,92.0,4.0,320000.0,118.15,0.3196,1-barrio+habitaciones,2.8,Baja rentabilidad
Fotocasa,188138186,Valencia,El Pilar,314095,Piso,3.0,86.0,4.0,320000.0,118.15,0.3196,1-barrio+habitaciones,2.8,Baja rentabilidad
Idealista,110906214,Valencia,Aiora,306005,Piso,3.0,94.0,5.0,280000.0,99.025,0.3326,1-barrio+habitaciones,2.79,Baja rentabilidad
Fotocasa,189099241,Valencia,Aiora,306005,Piso,3.0,84.0,5.0,280000.0,99.025,0.3326,1-barrio+habitaciones,2.79,Baja rentabilidad
Idealista,110940722,Valencia,Aiora,306005,Piso,3.0,62.0,4.0,282000.0,99.025,0.3326,1-barrio+habitaciones,2.77,Baja rentabilidad
Idealista,111348655,Valencia,El Carme,314078,Ático,1.0,41.0,4.0,250000.0,90.1,0.3236,1-barrio+habitaciones,2.77,Baja rentabilidad
Idealista,111196906,Valencia,El Carme,314078,Piso,3.0,92.0,1.0,332000.0,119.425,0.3236,1-barrio+habitaciones,2.76,Baja rentabilidad
Idealista,111140212,Valencia,El Cabanyal - El Canyamelar,335074,Casa,2.0,80.0,,295000.0,115.6,0.2972,1-barrio+habitaciones,2.76,Baja rentabilidad
Idealista,104696008,Valencia,La Seu,314157,Piso,2.0,110.0,2.0,370000.0,129.625,0.3306,1-barrio+habitaciones,2.75,Baja rentabilidad
Fotocasa,189568716,Valencia,El Cabanyal - El Canyamelar,335074,Piso,3.0,104.0,,320000.0,124.525,0.2972,1-barrio+habitaciones,2.74,Baja rentabilidad
Fotocasa,188799018,Valencia,El Cabanyal - El Canyamelar,335074,Piso,2.0,67.0,0.0,298000.0,115.6,0.2972,1-barrio+habitaciones,2.74,Baja rentabilidad
Idealista,111343096,Valencia,El Cabanyal - El Canyamelar,335074,Estudio,1.0,68.0,1.0,225000.0,87.55,0.2972,1-barrio+habitaciones,2.74,Baja rentabilidad
Fotocasa,189459136,Valencia,Aiora,306005,Piso,3.0,74.0,5.0,285000.0,99.025,0.3326,1-barrio+habitaciones,2.74,Baja rentabilidad
Idealista,110453007,Valencia,El Cabanyal - El Canyamelar,335074,Piso,3.0,85.0,2.0,320000.0,124.525,0.2972,1-barrio+habitaciones,2.74,Baja rentabilidad
Idealista,110707136,Valencia,El Cabanyal - El Canyamelar,335074,Casa,1.0,48.0,,225000.0,87.55,0.2972,1-barrio+habitaciones,2.74,Baja rentabilidad
Fotocasa,188997315,Valencia,El Cabanyal - El Canyamelar,335074,Piso,3.0,89.0,,320000.0,124.525,0.2972,1-barrio+habitaciones,2.74,Baja rentabilidad
Idealista,110548558,Valencia,La Seu,314157,Piso,1.0,59.0,2.0,249000.0,87.125,0.3306,1-barrio+habitaciones,2.74,Baja rentabilidad
Idealista,111266092,Valencia,El Pilar,314095,Piso,1.0,48.0,0.0,260000.0,93.5,0.3196,1-barrio+habitaciones,2.73,Baja rentabilidad
Idealista,111399034,Valencia,El Pilar,314095,Piso,1.0,45.0,0.0,260000.0,93.5,0.3196,1-barrio+habitaciones,2.73,Baja rentabilidad
Idealista,110417509,Valencia,El Pilar,314095,Piso,1.0,41.0,0.0,260000.0,93.5,0.3196,1-barrio+habitaciones,2.73,Baja rentabilidad
Idealista,110097012,Valencia,El Pilar,314095,Piso,1.0,42.0,0.0,260000.0,93.5,0.3196,1-barrio+habitaciones,2.73,Baja rentabilidad
Idealista,110372131,Valencia,El Cabanyal - El Canyamelar,335074,Piso,2.0,70.0,0.0,299999.0,115.6,0.2972,1-barrio+habitaciones,2.72,Baja rentabilidad
Fotocasa,188597385,Valencia,El Cabanyal - El Canyamelar,335074,Planta Baja,2.0,70.0,0.0,299999.0,115.6,0.2972,1-barrio+habitaciones,2.72,Baja rentabilidad
Fotocasa,189321481,Valencia,La Roqueta,314154,Ático,1.0,60.0,4.0,250000.0,91.8,0.3105,1-barrio+habitaciones,2.71,Baja rentabilidad
Idealista,110138173,Valencia,El Carme,314078,Piso,2.0,81.0,2.0,315000.0,111.35,0.3236,1-barrio+habitaciones,2.71,Baja rentabilidad
Idealista,110480499,Valencia,La Roqueta,314154,Estudio,1.0,46.0,,250000.0,91.8,0.3105,1-barrio+habitaciones,2.71,Baja rentabilidad
Idealista,110876321,Valencia,El Carme,314078,Ático,3.0,60.0,3.0,340000.0,119.425,0.3236,1-barrio+habitaciones,2.7,Baja rentabilidad
Idealista,110886931,Valencia,Aiora,306005,Piso,3.0,73.0,2.0,290000.0,99.025,0.3326,1-barrio+habitaciones,2.69,Baja rentabilidad
Idealista,105736506,Valencia,La Seu,314157,Dúplex,2.0,110.0,0.5,378000.0,129.625,0.3306,1-barrio+habitaciones,2.69,Baja rentabilidad
Idealista,109696174,Valencia,Russafa,325228,Piso,4.0,100.0,1.0,426000.0,162.35,0.2974,1-barrio+habitaciones,2.69,Baja rentabilidad
Idealista,111325275,Valencia,El Carme,314078,Ático,2.0,66.0,4.0,319000.0,111.35,0.3236,1-barrio+habitaciones,2.68,Baja rentabilidad
Idealista,82255077,Valencia,Russafa,325228,Piso,2.0,60.0,2.0,285000.0,107.95,0.2974,1-barrio+habitaciones,2.67,Baja rentabilidad
Idealista,111387591,Valencia,El Carme,314078,Piso,4.0,80.0,,276000.0,96.05,0.3236,2-barrio,2.67,Baja rentabilidad
Idealista,111196389,Valencia,Russafa,325228,Piso,3.0,105.0,7.0,430000.0,162.35,0.2974,1-barrio+habitaciones,2.66,Baja rentabilidad
Fotocasa,189252008,Valencia,Russafa,325228,Apartamento,4.0,105.0,3.0,430000.0,162.35,0.2974,1-barrio+habitaciones,2.66,Baja rentabilidad
Fotocasa,189205940,Valencia,Russafa,325228,Estudio,1.0,55.0,1.0,230000.0,86.7,0.2974,1-barrio+habitaciones,2.66,Baja rentabilidad
Idealista,111063028,Valencia,Russafa,325228,Piso,4.0,105.0,3.0,430000.0,162.35,0.2974,1-barrio+habitaciones,2.66,Baja rentabilidad
Idealista,111002693,Valencia,El Pilar,314095,Piso,1.0,80.0,0.0,267000.0,93.5,0.3196,1-barrio+habitaciones,2.66,Baja rentabilidad
Fotocasa,188068213,Valencia,El Cabanyal - El Canyamelar,335074,Dúplex,3.0,104.0,2.0,330000.0,124.525,0.2972,1-barrio+habitaciones,2.66,Baja rentabilidad
Idealista,111016012,Valencia,Russafa,325228,Piso,1.0,55.0,1.0,230000.0,86.7,0.2974,1-barrio+habitaciones,2.66,Baja rentabilidad
Fotocasa,186697573,Valencia,Camí Fondo,306035,Piso,3.0,87.0,6.0,295000.0,90.95,0.3628,2-barrio,2.65,Baja rentabilidad
Idealista,110384458,Valencia,Aiora,306005,Piso,3.0,69.0,7.0,295000.0,99.025,0.3326,1-barrio+habitaciones,2.65,Baja rentabilidad
Idealista,111121177,Valencia,El Pilar,314095,Piso,1.0,47.0,5.0,268000.0,93.5,0.3196,1-barrio+habitaciones,2.65,Baja rentabilidad
Idealista,111005021,Valencia,El Pilar,314095,Piso,2.0,67.0,2.0,270000.0,93.925,0.3196,1-barrio+habitaciones,2.64,Baja rentabilidad
Idealista,111146029,Valencia,El Cabanyal - El Canyamelar,335074,Ático,4.0,137.0,5.0,530000.0,198.05,0.2972,1-barrio+habitaciones,2.63,Baja rentabilidad
Fotocasa,187836312,Valencia,Russafa,325228,Piso,4.0,157.0,4.0,435000.0,162.35,0.2974,1-barrio+habitaciones,2.63,Baja rentabilidad
Idealista,108541066,Valencia,El Cabanyal - El Canyamelar,335074,Casa,1.0,84.0,,235000.0,87.55,0.2972,1-barrio+habitaciones,2.63,Baja rentabilidad
Idealista,111348314,Valencia,El Carme,314078,Ático,1.0,40.0,4.0,265000.0,90.1,0.3236,1-barrio+habitaciones,2.61,Baja rentabilidad
Idealista,110295864,Valencia,El Carme,314078,Dúplex,2.0,102.0,0.0,329000.0,111.35,0.3236,1-barrio+habitaciones,2.6,Baja rentabilidad
Idealista,111289450,Valencia,Exposició,325111,Piso,2.0,80.0,3.0,399000.0,101.15,0.4327,1-barrio+habitaciones,2.6,Baja rentabilidad
Idealista,111080102,Valencia,El Carme,314078,Piso,4.0,81.0,2.0,284000.0,96.05,0.3236,2-barrio,2.6,Baja rentabilidad
Idealista,110955013,Valencia,El Carme,314078,Piso,2.0,96.0,0.0,329000.0,111.35,0.3236,1-barrio+habitaciones,2.6,Baja rentabilidad
