id_barrio_oficial,barrio_oficial,ciudad,barrio_turistico_objetivo,pct_con_licencia,n_inmuebles,fuente,grupo
136046,Casco Histórico de Vallecas,Madrid,0,23.08,104,Inside Airbnb (2025),No turistico
136109,Entrevías,Madrid,0,28.57,63,Inside Airbnb (2025),No turistico
136203,Palomeras Bajas,Madrid,0,27.12,59,Inside Airbnb (2025),No turistico
136217,Portazgo,Madrid,0,19.05,63,Inside Airbnb (2025),No turistico
136234,San Diego,Madrid,0,23.66,279,Inside Airbnb (2025),No turistico
139003,Adelfas,Madrid,0,52.24,134,Inside Airbnb (2025),No turistico
139110,Estrella,Madrid,1,23.81,42,Inside Airbnb (2025),Turistico
139126,Ibiza,Madrid,1,33.45,284,Inside Airbnb (2025),Turistico
139129,Jerónimos,Madrid,1,41.0,100,Inside Airbnb (2025),Turistico
139192,Niño Jesús,Madrid,1,43.48,69,Inside Airbnb (2025),Turistico
139200,Pacífico,Madrid,1,28.9,301,Inside Airbnb (2025),Turistico
140049,Castellana,Madrid,1,40.69,204,Inside Airbnb (2025),Turistico
140115,Fuente del Berro,Madrid,1,37.31,134,Inside Airbnb (2025),Turistico
140118,Goya,Madrid,1,38.61,404,Inside Airbnb (2025),Turistico
140120,Guindalera,Madrid,1,35.75,386,Inside Airbnb (2025),Turistico
140173,Lista,Madrid,1,34.5,229,Inside Airbnb (2025),Turistico
140225,Recoletos,Madrid,1,40.62,320,Inside Airbnb (2025),Turistico
141012,Amposta,Madrid,0,25.0,16,Inside Airbnb (2025),No turistico
141017,Arcos,Madrid,1,21.15,52,Inside Airbnb (2025),Turistico
141041,Canillejas,Madrid,1,24.59,122,Inside Airbnb (2025),Turistico
141121,Hellín,Madrid,0,8.33,24,Inside Airbnb (2025),No turistico
141226,Rejas,Madrid,0,44.1,161,Inside Airbnb (2025),No turistico
141227,Rosas,Madrid,0,11.32,53,Inside Airbnb (2025),No turistico
141255,Simancas,Madrid,0,15.38,143,Inside Airbnb (2025),No turistico
146009,Almenara,Madrid,0,44.44,198,Inside Airbnb (2025),No turistico
146022,Bellas Vistas,Madrid,1,32.89,225,Inside Airbnb (2025),Turistico
146028,Berruguete,Madrid,1,33.19,232,Inside Airbnb (2025),Turistico
146051,Castillejos,Madrid,1,31.03,290,Inside Airbnb (2025),Turistico
146066,Cuatro Caminos,Madrid,1,35.98,478,Inside Airbnb (2025),Turistico
146266,Valdeacederas,Madrid,0,34.77,256,Inside Airbnb (2025),No turistico
147010,Almendrales,Madrid,0,27.27,121,Inside Airbnb (2025),No turistico
147188,Moscardó,Madrid,0,22.22,153,Inside Airbnb (2025),No turistico
147198,Orcasitas,Madrid,0,21.21,33,Inside Airbnb (2025),No turistico
147199,Orcasur,Madrid,0,46.38,69,Inside Airbnb (2025),No turistico
147218,Pradolongo,Madrid,0,25.86,58,Inside Airbnb (2025),No turistico
147235,San Fermín,Madrid,0,25.0,52,Inside Airbnb (2025),No turistico
147282,Zofío,Madrid,0,13.46,52,Inside Airbnb (2025),No turistico
148047,Casco Histórico de Vicálvaro,Madrid,0,35.21,71,Inside Airbnb (2025),No turistico
149251,Santa Eugenia,Madrid,0,33.33,9,Inside Airbnb (2025),No turistico
150032,Butarque,Madrid,1,10.71,28,Inside Airbnb (2025),Turistico
150175,Los Rosales,Madrid,0,5.36,56,Inside Airbnb (2025),No turistico
150176,Los Ángeles,Madrid,0,34.0,50,Inside Airbnb (2025),No turistico
150233,San Cristóbal,Madrid,0,14.29,21,Inside Airbnb (2025),No turistico
213089,El Gòtic,Barcelona,1,57.67,1167,Inside Airbnb (2025),Turistico
213101,El Raval,Barcelona,1,48.27,1330,Inside Airbnb (2025),Turistico
213134,La Barceloneta,Barcelona,1,41.08,482,Inside Airbnb (2025),Turistico
213250,"Sant Pere, Santa Caterina i la Ribera",Barcelona,1,53.37,1141,Inside Airbnb (2025),Turistico
218038,Can Baró,Barcelona,0,47.5,40,Inside Airbnb (2025),No turistico
218076,El Camp d'en Grassot i Gràcia Nova,Barcelona,0,57.09,296,Inside Airbnb (2025),No turistico
218083,El Coll,Barcelona,0,43.75,32,Inside Airbnb (2025),No turistico
218156,La Salut,Barcelona,0,42.68,82,Inside Airbnb (2025),No turistico
218271,Vallcarca i els Penitents,Barcelona,0,41.46,82,Inside Airbnb (2025),No turistico
218278,Vila de Gràcia,Barcelona,1,64.87,1056,Inside Airbnb (2025),Turistico
219070,El Baix Guinardó,Barcelona,0,51.47,136,Inside Airbnb (2025),No turistico
219079,El Carmel,Barcelona,0,46.05,76,Inside Airbnb (2025),No turistico
219088,El Guinardó,Barcelona,0,45.76,118,Inside Airbnb (2025),No turistico
219124,Horta,Barcelona,0,40.0,15,Inside Airbnb (2025),No turistico
219138,La Clota,Barcelona,0,0.0,5,Inside Airbnb (2025),No turistico
219141,La Font d'en Fargues,Barcelona,0,62.96,27,Inside Airbnb (2025),No turistico
219158,La Teixonera,Barcelona,0,23.53,17,Inside Airbnb (2025),No turistico
219162,La Vall d'Hebron,Barcelona,0,12.5,8,Inside Airbnb (2025),No turistico
219186,Montbau,Barcelona,0,25.0,8,Inside Airbnb (2025),No turistico
219242,Sant Genís dels Agudells,Barcelona,0,30.0,10,Inside Airbnb (2025),No turistico
224013,Antiga Esquerra de l'Eixample,Barcelona,1,69.58,1006,Inside Airbnb (2025),Turistico
224069,Dreta de l'Eixample,Barcelona,1,74.96,2404,Inside Airbnb (2025),Turistico
224086,El Fort Pienc,Barcelona,1,64.21,489,Inside Airbnb (2025),Turistico
224194,Nova Esquerra de l'Eixample,Barcelona,1,60.97,766,Inside Airbnb (2025),Turistico
224231,Sagrada Família,Barcelona,1,69.25,1047,Inside Airbnb (2025),Turistico
224240,Sant Antoni,Barcelona,1,68.85,947,Inside Airbnb (2025),Turistico
226148,La Maternitat i Sant Ramon,Barcelona,0,61.46,96,Inside Airbnb (2025),No turistico
226169,Les Corts,Barcelona,0,69.45,275,Inside Airbnb (2025),No turistico
226208,Pedralbes,Barcelona,0,58.82,34,Inside Airbnb (2025),No turistico
230103,El Turó de la Peira,Barcelona,0,0.0,21,Inside Airbnb (2025),No turistico
230144,La Guineueta,Barcelona,0,30.0,10,Inside Airbnb (2025),No turistico
230151,La Prosperitat,Barcelona,0,4.55,22,Inside Airbnb (2025),No turistico
230160,La Trinitat Nova,Barcelona,0,0.0,5,Inside Airbnb (2025),No turistico
230170,Les Roquetes,Barcelona,0,8.33,12,Inside Airbnb (2025),No turistico
230216,Porta,Barcelona,0,27.59,29,Inside Airbnb (2025),No turistico
230277,Verdun,Barcelona,0,11.11,9,Inside Airbnb (2025),No turistico
230279,Vilapicina i la Torre Llobeta,Barcelona,0,75.68,74,Inside Airbnb (2025),No turistico
242072,El Bon Pastor,Barcelona,0,30.0,10,Inside Airbnb (2025),No turistico
242084,El Congrés i els Indians,Barcelona,0,28.07,57,Inside Airbnb (2025),No turistico
242155,La Sagrera,Barcelona,0,34.0,50,Inside Airbnb (2025),No turistico
242191,Navas,Barcelona,0,48.53,68,Inside Airbnb (2025),No turistico
242239,Sant Andreu de Palomar,Barcelona,0,24.44,90,Inside Airbnb (2025),No turistico
243071,El Besòs i el Maresme,Barcelona,0,36.44,118,Inside Airbnb (2025),No turistico
243077,El Camp de l'Arpa del Clot,Barcelona,0,64.6,291,Inside Airbnb (2025),No turistico
243082,El Clot,Barcelona,0,36.08,97,Inside Airbnb (2025),No turistico
243092,El Parc i la Llacuna del Poblenou,Barcelona,1,63.64,176,Inside Airbnb (2025),Turistico
243099,El Poblenou,Barcelona,1,64.2,486,Inside Airbnb (2025),Turistico
243163,La Verneda i la Pau,Barcelona,0,25.71,35,Inside Airbnb (2025),No turistico
243164,La Vila Olímpica del Poblenou,Barcelona,1,64.38,146,Inside Airbnb (2025),Turistico
243220,Provençals del Poblenou,Barcelona,0,41.76,91,Inside Airbnb (2025),No turistico
243248,Sant Martí de Provençals,Barcelona,0,38.0,50,Inside Airbnb (2025),No turistico
244098,El Poble-sec,Barcelona,1,65.86,823,Inside Airbnb (2025),Turistico
