id_barrio_oficial,ciudad,distrito_oficial,barrio_oficial,barrio_turistico_objetivo
327257,Valencia,L'Olivereta,Soternes,0
129258,Madrid,Moratalaz,Timón,0
322259,Valencia,La Saïdia,Tormos,0
230260,Barcelona,Nou Barris,Torre Baró,0
338261,Valencia,Rascanya,Torrefiel,0
111262,Madrid,Chamberí,Trafalgar,1
327263,Valencia,L'Olivereta,Tres Forques,0
322264,Valencia,La Saïdia,Trinitat,0
109265,Madrid,Centro,Universidad,1
146266,Madrid,Tetuán,Valdeacederas,0
148267,Madrid,Vicálvaro,Valdebernardo,0
120268,Madrid,Hortaleza,Valdefuentes,0
128269,Madrid,Moncloa-Aravaca,Valdemarín,0
128270,Madrid,Moncloa-Aravaca,Valdezarza,0
218271,Barcelona,Gràcia,Vallcarca i els Penitents,0
111272,Madrid,Chamberí,Vallehermoso,1
245273,Barcelona,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",0
117274,Madrid,Fuencarral-El Pardo,Valverde,0
331275,Valencia,Patraix,Vara de Quart,0
112276,Madrid,Ciudad Lineal,Ventas,0
230277,Barcelona,Nou Barris,Verdun,0
218278,Barcelona,Gràcia,Vila de Gràcia,1
230279,Barcelona,Nou Barris,Vilapicina i la Torre Llobeta,0
129280,Madrid,Moratalaz,Vinateros,0
108281,Madrid,Carabanchel,Vista Alegre,0
147282,Madrid,Usera,Zofío,0
