base_datos,id_anuncio,precio_inmueble,precio_m2,tipo_inmueble,habitaciones,baños,metros_cuadrados,num_planta,id_barrio_oficial,dias_publicado,detalles_extra,segmento_precio,segmento_precio_m2,ciudad,barrio_oficial,precio_noche_estimado,ocupacion_media_estimada,nivel_precio,puntuacion_ROI365,ROI365_%,outlier_roi365
Idealista,110025970,405000.0,7232.142857142857,Piso,1.0,,56.0,2.0,112276,,Ascensor | Exterior,Entrada,Alto,Madrid,Ventas,96.9,0.2708,3-ciudad+habitaciones,Baja rentabilidad,1.54,False
Idealista,110909681,500000.0,4901.9607843137255,Piso,1.0,,102.0,2.0,213101,,Ascensor | Exterior,Entrada,Medio,Barcelona,El Raval,159.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,1.95,False
Idealista,111331202,749000.0,8415.730337078652,Piso,3.0,,89.0,2.0,139110,,Ascensor | Exterior,Medio,Alto,Madrid,Estrella,134.3,0.1522,2-barrio,Baja rentabilidad,0.65,False
Idealista,111086004,360000.0,3913.0434782608695,Piso,1.0,,92.0,2.0,213250,,Exterior,Entrada,Entrada,Barcelona,"Sant Pere, Santa Caterina i la Ribera",132.5,0.2318,1-barrio+habitaciones,Baja rentabilidad,2.02,False
Idealista,26281606,330000.0,4852.941176470588,Piso,1.0,,68.0,2.0,146009,,Ascensor | Exterior,Entrada,Medio,Madrid,Almenara,96.9,0.2708,3-ciudad+habitaciones,Baja rentabilidad,1.89,False
Idealista,105363044,1400000.0,13861.38613861386,Piso,2.0,,101.0,2.0,109130,,Ascensor | Exterior,Alto,Lujo,Madrid,Justicia,164.47500000000002,0.2602,1-barrio+habitaciones,Baja rentabilidad,0.73,False
Idealista,111264820,820000.0,9761.90476190476,Piso,2.0,,84.0,2.0,109130,,Ascensor | Exterior,Medio,Alto,Madrid,Justicia,164.47500000000002,0.2602,1-barrio+habitaciones,Baja rentabilidad,1.24,False
Idealista,110891640,1200000.0,11881.18811881188,Piso,2.0,,101.0,2.0,109064,,Ascensor | Exterior,Alto,Lujo,Madrid,Cortes,142.8,0.3395,1-barrio+habitaciones,Baja rentabilidad,0.96,False
Idealista,111398012,499000.0,6085.365853658536,Piso,3.0,,82.0,2.0,139200,,Ascensor | Exterior,Entrada,Medio,Madrid,Pacífico,159.8,0.2411,1-barrio+habitaciones,Baja rentabilidad,1.83,False
Idealista,111188678,859000.0,8765.30612244898,Piso,3.0,,98.0,2.0,139126,,Ascensor | Exterior,Medio,Alto,Madrid,Ibiza,187.85,0.2309,1-barrio+habitaciones,Baja rentabilidad,1.2,False
Idealista,109919464,1800000.0,8910.89108910891,Ático,3.0,,202.0,2.0,245244,,Garaje incluido | Ascensor | Exterior,Lujo,Alto,Barcelona,Sant Gervasi - la Bonanova,212.0,0.2842,3-ciudad+habitaciones,Baja rentabilidad,0.79,False
Idealista,97019431,379000.0,5053.333333333333,Piso,3.0,,75.0,2.0,218278,,Exterior,Entrada,Medio,Barcelona,Vila de Gràcia,164.3,0.3004,1-barrio+habitaciones,Baja rentabilidad,3.09,False
Idealista,109618595,339000.0,4842.857142857143,Piso,3.0,,70.0,2.0,218278,,Ascensor | Interior,Entrada,Medio,Barcelona,Vila de Gràcia,164.3,0.3004,1-barrio+habitaciones,Baja rentabilidad,3.45,False
Idealista,110423901,690000.0,6216.216216216216,Piso,3.0,,111.0,2.0,245244,,Ascensor | Exterior,Medio,Medio,Barcelona,Sant Gervasi - la Bonanova,212.0,0.2842,3-ciudad+habitaciones,Baja rentabilidad,2.07,False
Idealista,111279792,255000.0,3923.076923076923,Piso,3.0,,65.0,2.0,147282,,Ascensor | Exterior,Entrada,Entrada,Madrid,Zofío,185.3,0.2708,3-ciudad+habitaciones,Baja rentabilidad,4.67,False
Idealista,111076294,480000.0,10000.0,Piso,1.0,,48.0,2.0,213101,,Ascensor | Exterior,Entrada,Alto,Barcelona,El Raval,159.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,2.03,False
Idealista,108826063,990000.0,6644.295302013423,Piso,3.0,,149.0,2.0,139200,,Ascensor | Exterior,Medio,Medio,Madrid,Pacífico,159.8,0.2411,1-barrio+habitaciones,Baja rentabilidad,0.92,False
Idealista,111396251,650000.0,6372.549019607844,Piso,3.0,,102.0,2.0,139200,,Garaje opc. 40.000 € | Ascensor | Exterior,Medio,Medio,Madrid,Pacífico,159.8,0.2411,1-barrio+habitaciones,Baja rentabilidad,1.41,False
Idealista,110611912,359000.0,3988.8888888888887,Piso,4.0,,90.0,2.0,334159,,Ascensor | Exterior,Entrada,Entrada,Valencia,La Torre,183.6,0.2776,3-ciudad+habitaciones,Baja rentabilidad,3.37,False
Idealista,110516483,299600.0,3566.6666666666665,Piso,4.0,,84.0,2.0,230216,,Ascensor | Exterior,Entrada,Entrada,Barcelona,Porta,424.0,0.2842,3-ciudad+habitaciones,Media rentabilidad,9.54,False
Idealista,84485794,199000.0,4738.095238095239,Estudio,1.0,,42.0,2.0,213101,,,Entrada,Medio,Barcelona,El Raval,159.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,4.91,False
Idealista,109507774,1650000.0,9705.882352941177,Dúplex,2.0,,170.0,2.0,109201,,Ascensor | Exterior,Lujo,Alto,Madrid,Palacio,149.6,0.2914,1-barrio+habitaciones,Baja rentabilidad,0.63,False
Idealista,109507154,590000.0,9218.75,Piso,2.0,,64.0,2.0,224013,,Ascensor | Exterior,Medio,Alto,Barcelona,Antiga Esquerra de l'Eixample,246.98,0.3028,1-barrio+habitaciones,Baja rentabilidad,3.01,False
Idealista,110752125,219000.0,3532.2580645161293,Piso,2.0,,62.0,2.0,244252,,Exterior,Entrada,Entrada,Barcelona,Sants,186.03,0.3327,2-barrio,Media rentabilidad,6.7,False
Idealista,110482160,527000.0,4085.2713178294575,Piso,4.0,,129.0,2.0,112232,,Exterior,Medio,Entrada,Madrid,Salvador,304.3,0.2708,3-ciudad+habitaciones,Baja rentabilidad,3.71,False
Idealista,104713066,250000.0,4716.981132075472,Piso,1.0,,53.0,2.0,213101,,Exterior,Entrada,Medio,Barcelona,El Raval,159.0,0.2589,1-barrio+habitaciones,Baja rentabilidad,3.91,False
Idealista,107861043,1875000.0,12931.03448275862,Piso,2.0,,145.0,2.0,109130,,Ascensor | Exterior,Lujo,Lujo,Madrid,Justicia,164.47500000000002,0.2602,1-barrio+habitaciones,Baja rentabilidad,0.54,False
