escenario,base_datos,id_anuncio,ciudad,barrio_oficial,id_barrio_oficial,tipo_inmueble,habitaciones,metros_cuadrados,num_planta,precio_inmueble,precio_noche_estimado,ocupacion_media_estimada,nivel_precio,ROI365_%,puntuacion_ROI365
E3_sin_barcelona,Idealista,110149054,Madrid,Cortes,109064,Piso,3.0,99.0,0.0,470000.0,214.2,0.3395,1-barrio+habitaciones,3.67,Baja rentabilidad
E3_sin_barcelona,Idealista,111329327,Madrid,Universidad,109265,Piso,3.0,63.0,0.0,385000.0,207.4,0.286,1-barrio+habitaciones,3.66,Baja rentabilidad
E3_sin_barcelona,Idealista,109734009,Madrid,Pacífico,139200,Piso,3.0,91.0,-1.0,250000.0,159.8,0.2411,1-barrio+habitaciones,3.66,Baja rentabilidad
E3_sin_barcelona,Idealista,110981600,Madrid,Palacio,109201,Piso,3.0,74.0,4.0,380000.0,201.02499999999998,0.2914,1-barrio+habitaciones,3.66,Baja rentabilidad
E3_sin_barcelona,Fotocasa,188537710,Madrid,Pacífico,139200,Piso,3.0,92.0,0.0,250000.0,159.8,0.2411,1-barrio+habitaciones,3.66,Baja rentabilidad
E3_sin_barcelona,Idealista,111315969,Madrid,Universidad,109265,Piso,3.0,70.0,0.0,385000.0,207.4,0.286,1-barrio+habitaciones,3.66,Baja rentabilidad
E3_sin_barcelona,Idealista,110317949,Madrid,Sol,109256,Piso,1.0,64.0,2.0,245000.0,112.2,0.3349,1-barrio+habitaciones,3.64,Baja rentabilidad
E3_sin_barcelona,Fotocasa,188833812,Madrid,Embajadores,109106,Estudio,1.0,35.0,1.0,175000.0,87.55,0.3064,1-barrio+habitaciones,3.64,Baja rentabilidad
E3_sin_barcelona,Idealista,111117847,Madrid,Palacio,109201,Piso,2.0,35.0,0.0,285000.0,149.6,0.2914,1-barrio+habitaciones,3.63,Baja rentabilidad
E3_sin_barcelona,Fotocasa,189164330,Madrid,Palacio,109201,Piso,2.0,43.0,2.0,285000.0,149.6,0.2914,1-barrio+habitaciones,3.63,Baja rentabilidad
E3_sin_barcelona,Idealista,110482085,Madrid,Palacio,109201,Ático,2.0,65.0,4.0,286000.0,149.6,0.2914,1-barrio+habitaciones,3.62,Baja rentabilidad
